t,o,h,l,c,VWAP,Basis,Upper,Lower,Dynamic Price Oscillator,Dynamic Mean,Bollinger High,Expanded Bollinger High,Bollinger Low,Expanded Bollinger Low,%K,Plot,Plot
2024-04-23T15:00:00-04:00,82.367,82.497,82.05,82.437,81.89022817,82.2361,82.71101132,81.76118868,42.68189057,40.64282758,43.24528615,45.84774472,38.04036901,35.43791045,77.75080906,80.69039914,88.40402171
2024-04-23T15:15:00-04:00,82.44,82.676,82.336,82.62,81.91266407,82.2475,82.74713567,81.74786433,42.70347895,40.63807545,43.23604713,45.83401881,38.04010376,35.44213208,82.14670982,80.48363898,89.10383575
2024-04-23T15:30:00-04:00,82.62,82.77,82.361,82.434,81.93165997,82.2535,82.75903318,81.74796682,42.61649561,40.63599883,43.23225078,45.82850273,38.03974688,35.44349494,82.29491405,80.73081097,88.23295886
2024-04-23T15:45:00-04:00,82.434,82.494,82.154,82.468,81.94992932,82.2594,82.77200527,81.74679473,42.49124144,40.63572594,43.2317805,45.82783506,38.03967139,35.44361683,81.63752066,82.02638151,86.48676151
2024-04-24T09:30:00-04:00,83.97,84.08,83.025,83.285,83.46333333,82.31735,82.99273382,81.64196618,42.71890075,40.63747222,43.23483023,45.83218824,38.0401142,35.44275619,73.61884982,79.18376151,84.35986424
2024-04-24T09:45:00-04:00,83.3,83.753,82.22,82.64,83.17996237,82.3288,83.01777419,81.63982581,42.68374776,40.63978468,43.23879311,45.83780155,38.04077625,35.44176781,63.51176265,72.92271104,81.03027392
2024-04-24T10:00:00-04:00,82.668,83.325,82.461,82.764,83.10130921,82.3513,83.06579034,81.63680966,42.63316652,40.64180885,43.24223853,45.84266822,38.04137916,35.44094947,52.8996994,63.34343729,75.99540083
2024-04-24T10:15:00-04:00,82.794,83.141,82.501,82.975,83.06268173,82.4031,83.14036899,81.66583101,42.68963188,40.64423631,43.24638897,45.84854162,38.04208366,35.439931,47.0698585,54.49377352,71.13972805
2024-04-24T10:30:00-04:00,82.97,83.442,82.755,83.045,83.06430405,82.43595,83.22437285,81.64752715,42.78783305,40.64760168,43.25216428,45.85672687,38.04303908,35.43847648,48.74456291,49.5713736,66.07636031
2024-04-24T10:45:00-04:00,83.044,83.22,82.622,82.805,83.04944436,82.4682,83.2615853,81.6748147,42.77909,40.65157123,43.2588788,45.86618637,38.04426367,35.4369561,46.11689391,47.31043844,60.77293306
2024-04-24T11:00:00-04:00,82.84,82.87,81.75,82.07,82.91706647,82.4772,83.24790477,81.70649523,42.52273966,40.65534379,43.26490474,45.87446569,38.04578283,35.43622188,33.31360071,42.72501918,56.16281542
2024-04-24T11:15:00-04:00,82.06,82.116,81.641,81.953,82.83334932,82.48565,83.22898849,81.74231151,42.07108376,40.65665535,43.26687306,45.87709077,38.04643764,35.43621993,21.23938391,33.55662618,52.00082235
2024-04-24T11:30:00-04:00,81.968,82.201,81.427,81.447,82.76609905,82.46495,83.29474479,81.63515521,41.57334705,40.65570674,43.26556267,45.87541859,38.04585082,35.43599489,9.093299017,21.21542788,46.21808426
